ACCTID,ACCTTYPE,ACCTNAME,FIRSTNAME,SURNAME,DOB,ACCTCREATED,ACCTRISK,ADDRESS,ADDRESS_LAT,ADDRESS_LON,CATEGORY
800363,BUSINESS,Taylor Cheeses,Autumn,Taylor,1965-02-12T00:00:00,2017-04-24T00:00:00,LOW,BRISBANE,-27.5283385,153.0644219,Cheeses
800364,BUSINESS,Stewart Roasters,Sandra,Stewart,1981-09-29T00:00:00,2015-10-13T00:00:00,LOW,BRISBANE,-27.5164252,153.0641271,Roasters
800365,BUSINESS,Baxter Beauty,Haley,Baxter,1983-02-16T00:00:00,2019-07-11T00:00:00,LOW,BRISBANE,-27.5422112,153.0649706987772,Beauty
800366,CREDIT,Adams Roasters,Samantha,Adams,1957-03-15T00:00:00,2017-08-16T00:00:00,LOW,BRISBANE,-27.54322995,153.07057067822967,Roasters
800367,BUSINESS,Williams Digital,Bianca,Williams,1958-10-22T00:00:00,2019-10-26T00:00:00,LOW,BRISBANE,-27.54232865,153.05356335778407,Digital
800368,BUSINESS,Bautista Services,Terri,Bautista,1964-04-26T00:00:00,2015-02-25T00:00:00,LOW,BRISBANE,-27.421524729212674,153.0921926150816,Services
800369,BUSINESS,Diaz Cheeses,Brian,Diaz,1963-02-03T00:00:00,2016-02-05T00:00:00,LOW,BRISBANE,-27.4281304,153.0675800636463,Cheeses
800370,BUSINESS,Cook Computers,Lindsey,Cook,1984-09-01T00:00:00,2019-12-11T00:00:00,LOW,BRISBANE,-27.4072057,153.02337907147069,Computers
800371,BUSINESS,Jones Apparel,Shannon,Jones,1987-12-10T00:00:00,2017-04-06T00:00:00,LOW,BRISBANE,-27.435147944936915,153.0940193561149,Apparel
800372,BUSINESS,Ayala Gardening,Richard,Ayala,1966-10-18T00:00:00,2015-07-27T00:00:00,MEDIUM,BRISBANE,-27.455013503886388,152.96001820083742,Gardening
800373,BUSINESS,Hodge Accounting,Jon,Hodge,1964-01-15T00:00:00,2018-04-07T00:00:00,LOW,BRISBANE,-27.4034267,153.0578374,Accounting
800374,BUSINESS,Baker Salamis,Julie,Baker,1977-05-27T00:00:00,2019-03-12T00:00:00,LOW,BRISBANE,-27.48185245,153.053014331383,Salamis
800375,CREDIT,Briggs Wholesale,Jessica,Briggs,1969-11-12T00:00:00,2017-10-03T00:00:00,LOW,BRISBANE,-27.45518247369726,152.95902472088832,Wholesale
800376,CREDIT,Miller Electrical,Ellen,Miller,1965-12-27T00:00:00,2019-05-18T00:00:00,LOW,BRISBANE,-27.46453135,153.02956762272987,Electrical
800377,BUSINESS,Parker Lawyers,Alexander,Parker,1989-10-09T00:00:00,2015-12-29T00:00:00,LOW,BRISBANE,-27.4599509,152.9833688,Lawyers
800378,BUSINESS,Ferguson Accounting,Elizabeth,Ferguson,1969-11-17T00:00:00,2017-06-30T00:00:00,LOW,BRISBANE,-27.47082115,153.02963810803152,Accounting
800379,CREDIT,Sandoval Clinic,Patricia,Sandoval,1989-11-28T00:00:00,2015-05-16T00:00:00,LOW,BRISBANE,-27.43887925,153.01234747441998,Clinic
800380,CREDIT,Farrell Podiatry,Jessica,Farrell,1975-09-23T00:00:00,2019-07-07T00:00:00,MEDIUM,BRISBANE,-27.5278267,153.0436788,Podiatry
800381,BUSINESS,Campbell Consulting,Yvonne,Campbell,1969-10-31T00:00:00,2017-02-28T00:00:00,LOW,BRISBANE,-27.5276667,153.0638661,Consulting
800382,BUSINESS,Greene Trading,Robert,Greene,1988-01-08T00:00:00,2016-01-05T00:00:00,MEDIUM,BRISBANE,-27.40208545,152.96341189831892,Trading
800383,BUSINESS,Williams Events,Pamela,Williams,1975-11-17T00:00:00,2019-01-29T00:00:00,MEDIUM,BRISBANE,-27.485557049999997,153.0530348713525,Events
800384,CREDIT,Turner Music,Christopher,Turner,1987-09-28T00:00:00,2018-02-19T00:00:00,LOW,BRISBANE,-27.417705,152.9821214,Music
800385,CREDIT,Carroll Cheeses,Connie,Carroll,1959-05-09T00:00:00,2015-07-27T00:00:00,LOW,BRISBANE,-27.503070049999998,153.09925801775478,Cheeses
800386,CREDIT,Guerrero Sports,Kevin,Guerrero,1980-11-09T00:00:00,2018-05-13T00:00:00,MEDIUM,BRISBANE,-27.4280993,153.099469,Sports
800387,CREDIT,White Sports,Marcia,White,1969-04-19T00:00:00,2016-11-14T00:00:00,LOW,BRISBANE,-27.43920225,153.01196377279985,Sports
800388,CREDIT,Harrison Brewery,Daniel,Harrison,1973-09-17T00:00:00,2018-05-11T00:00:00,LOW,BRISBANE,-27.4943988,152.9770285,Brewery
800389,BUSINESS,Walker Music,Joseph,Walker,1960-06-17T00:00:00,2016-08-23T00:00:00,LOW,BRISBANE,-27.4507676,153.0653959,Music
800390,CREDIT,Carpenter Accounting,Alexandria,Carpenter,1974-03-30T00:00:00,2017-06-18T00:00:00,MEDIUM,BRISBANE,-27.4416815,153.09143213828094,Accounting
800391,CREDIT,Baker Apparel,Kyle,Baker,1988-07-04T00:00:00,2014-12-20T00:00:00,LOW,BRISBANE,-27.418232374738952,153.08768020890042,Apparel
800392,BUSINESS,Waters Clinic,Antonio,Waters,1969-01-22T00:00:00,2020-02-16T00:00:00,MEDIUM,BRISBANE,-27.5223839,152.9708108,Clinic
800393,CREDIT,Moreno Pharmacy,Dawn,Moreno,1963-03-10T00:00:00,2015-02-02T00:00:00,MEDIUM,BRISBANE,-27.421775,152.9798445,Pharmacy
800394,CREDIT,Martin Computers,Johnny,Martin,1983-10-10T00:00:00,2019-10-08T00:00:00,LOW,BRISBANE,-27.532996,152.9854305,Computers
800395,CREDIT,Wang Gardening,Kristen,Wang,1959-02-05T00:00:00,2020-02-08T00:00:00,LOW,BRISBANE,-27.5183689,153.087696,Gardening
800396,CREDIT,Dougherty Beauty,Mark,Dougherty,1986-02-01T00:00:00,2016-08-26T00:00:00,LOW,BRISBANE,-27.392681920686616,153.01762332415566,Beauty
800397,CREDIT,Hernandez Cleaning,Veronica,Hernandez,1983-11-13T00:00:00,2019-11-15T00:00:00,LOW,BRISBANE,-27.455220349999998,153.0520457228604,Cleaning
800398,BUSINESS,Williams Events,Jacob,Williams,1974-08-23T00:00:00,2015-08-06T00:00:00,MEDIUM,BRISBANE,-27.4313477,153.0875277,Events
800399,BUSINESS,Stewart Digital,Debra,Stewart,1964-02-27T00:00:00,2015-07-15T00:00:00,MEDIUM,BRISBANE,-27.4323903,153.0130334,Digital
800400,BUSINESS,Gibbs Fitness,Margaret,Gibbs,1966-07-08T00:00:00,2019-09-10T00:00:00,LOW,BRISBANE,-27.4136403,152.9542289,Fitness
800401,BUSINESS,Brown Services,Debbie,Brown,1958-01-01T00:00:00,2019-09-29T00:00:00,LOW,BRISBANE,-27.4411028,153.02443162336425,Services
800402,BUSINESS,Mcgrath Smallgoods,Brittany,Mcgrath,1962-11-14T00:00:00,2018-10-19T00:00:00,LOW,BRISBANE,-27.4160329,153.0347336,Smallgoods
800403,CREDIT,Brown Brewery,Sarah,Brown,1970-09-04T00:00:00,2016-05-08T00:00:00,MEDIUM,BRISBANE,-27.4188056,153.0570728,Brewery
800404,CREDIT,Hicks Consulting,William,Hicks,1973-08-01T00:00:00,2018-12-19T00:00:00,LOW,BRISBANE,-27.4265406,153.086784,Consulting
800405,CREDIT,Goodwin Garage,Amber,Goodwin,1966-10-24T00:00:00,2017-12-03T00:00:00,LOW,BRISBANE,-27.41886777304046,153.10151064943562,Garage
800406,BUSINESS,Graham Gardening,Jose,Graham,1975-05-04T00:00:00,2018-12-03T00:00:00,LOW,BRISBANE,-27.450443,153.0776651,Gardening
800407,BUSINESS,Love Apparel,Zachary,Love,1957-04-19T00:00:00,2016-04-04T00:00:00,HIGH,BRISBANE,-27.4533662,152.9641012,Apparel
800408,CREDIT,Owens Roasters,Todd,Owens,1973-08-28T00:00:00,2015-04-12T00:00:00,LOW,BRISBANE,-27.4146381,153.0117559,Roasters
800409,BUSINESS,Dougherty Fitness,Angel,Dougherty,1986-08-15T00:00:00,2017-05-04T00:00:00,LOW,BRISBANE,-27.4929128,153.0716771,Fitness
800410,CREDIT,Mccarthy Gardening,Bradley,Mccarthy,1966-01-08T00:00:00,2014-10-17T00:00:00,MEDIUM,BRISBANE,-27.4189443,153.0222812,Gardening
800411,CREDIT,Thomas Roasters,Erica,Thomas,1967-07-29T00:00:00,2018-04-24T00:00:00,LOW,BRISBANE,-27.4605839,153.0435443,Roasters
800412,BUSINESS,Price Consulting,Jennifer,Price,1965-06-04T00:00:00,2018-07-17T00:00:00,LOW,BRISBANE,-27.4159411,152.9948157,Consulting
800413,CREDIT,Harris Gardening,Jacqueline,Harris,1964-09-15T00:00:00,2018-02-16T00:00:00,LOW,BRISBANE,-27.4740558,152.9865281,Gardening
800414,CREDIT,Dickerson Childcare,Jessica,Dickerson,1971-11-05T00:00:00,2016-01-31T00:00:00,LOW,BRISBANE,-27.45529,153.0389162,Childcare
800415,BUSINESS,Santos Distillery,Alexa,Santos,1988-07-08T00:00:00,2017-08-21T00:00:00,MEDIUM,BRISBANE,-27.4012724,152.9717612,Distillery
800416,BUSINESS,Melton Distillery,Cody,Melton,1969-01-05T00:00:00,2016-09-18T00:00:00,LOW,BRISBANE,-27.4059207,152.9953488,Distillery
800417,CREDIT,Krause Brewery,Douglas,Krause,1974-09-27T00:00:00,2015-06-17T00:00:00,LOW,BRISBANE,-27.4173417,153.0303143,Brewery
800418,BUSINESS,Greene Salamis,Linda,Greene,1967-05-12T00:00:00,2019-03-03T00:00:00,LOW,BRISBANE,-27.47332025,153.09722264276348,Salamis
800419,CREDIT,Kerr Fitness,Bradley,Kerr,1988-02-07T00:00:00,2019-12-08T00:00:00,LOW,BRISBANE,-27.4927342,153.0239583,Fitness
800420,BUSINESS,Daugherty Music,Dustin,Daugherty,1991-02-20T00:00:00,2018-12-10T00:00:00,LOW,BRISBANE,-27.4879003,153.072026,Music
800421,BUSINESS,Jensen Gardening,Russell,Jensen,1975-01-21T00:00:00,2016-05-28T00:00:00,LOW,BRISBANE,-27.492889249999998,153.09977580800103,Gardening
800422,BUSINESS,Singh Fitness,James,Singh,1974-05-27T00:00:00,2018-03-13T00:00:00,LOW,BRISBANE,-27.4051634,153.0681882,Fitness
800423,BUSINESS,Dickerson Fitness,Christopher,Dickerson,1991-07-27T00:00:00,2019-11-02T00:00:00,LOW,BRISBANE,-27.4331629,153.0114984,Fitness
800424,BUSINESS,Williams Electrical,Jacqueline,Williams,1989-02-01T00:00:00,2018-04-10T00:00:00,MEDIUM,BRISBANE,-27.39578226602828,152.97001441074644,Electrical
800425,CREDIT,Perry Butcher,Stacey,Perry,1959-09-01T00:00:00,2016-09-07T00:00:00,LOW,BRISBANE,-27.532645199999997,153.00753831250208,Butcher
800426,BUSINESS,Ryan Pottery,Thomas,Ryan,1972-04-08T00:00:00,2016-11-27T00:00:00,LOW,BRISBANE,-27.4963075,153.0464645,Pottery
800427,BUSINESS,Sanders Finance,Randy,Sanders,1960-09-25T00:00:00,2017-07-14T00:00:00,MEDIUM,BRISBANE,-27.4290831,152.9601283,Finance
800428,BUSINESS,Clark Childcare,Robert,Clark,1977-11-06T00:00:00,2016-12-30T00:00:00,LOW,BRISBANE,-27.5401082,153.0889752,Childcare
800429,CREDIT,Wilson Events,Nicole,Wilson,1989-05-08T00:00:00,2014-10-07T00:00:00,MEDIUM,BRISBANE,-27.4749776330846,153.01878522681454,Events
800430,CREDIT,Hernandez Music,Kathryn,Hernandez,1978-04-11T00:00:00,2017-12-02T00:00:00,MEDIUM,BRISBANE,-27.45268295,153.0204208469549,Music
800431,CREDIT,Morales Childcare,Heather,Morales,1992-01-11T00:00:00,2015-12-13T00:00:00,LOW,BRISBANE,-27.40425731850177,153.09726897422468,Childcare
800432,BUSINESS,Tran Music,Preston,Tran,1978-06-18T00:00:00,2015-02-24T00:00:00,LOW,BRISBANE,-27.5015078,153.0015012,Music
800433,BUSINESS,Bowen Salamis,Nicholas,Bowen,1968-01-15T00:00:00,2015-06-18T00:00:00,MEDIUM,BRISBANE,-27.472122337324322,153.0107234881931,Salamis
800434,CREDIT,Sutton Trading,Kathleen,Sutton,1985-03-12T00:00:00,2015-08-27T00:00:00,MEDIUM,BRISBANE,-27.4924893,153.0255723,Trading
800435,BUSINESS,Johnson Brewery,Stephanie,Johnson,1973-04-03T00:00:00,2017-12-01T00:00:00,LOW,BRISBANE,-27.4591871,153.0820767,Brewery
800436,CREDIT,Parsons Gardening,Daniel,Parsons,1979-11-11T00:00:00,2015-02-01T00:00:00,MEDIUM,BRISBANE,-27.5287672,152.9676651,Gardening
800437,BUSINESS,Vazquez Butcher,William,Vazquez,1970-06-19T00:00:00,2017-06-03T00:00:00,MEDIUM,BRISBANE,-27.4361224,153.0361341,Butcher
800438,BUSINESS,Evans Digital,Jonathan,Evans,1958-01-10T00:00:00,2016-01-19T00:00:00,LOW,BRISBANE,-27.5377533,153.0072783,Digital
800439,CREDIT,Carpenter Events,Gregory,Carpenter,1967-11-24T00:00:00,2019-02-06T00:00:00,LOW,BRISBANE,-27.5220428,153.0372685,Events
800440,CREDIT,Jones Distillery,David,Jones,1958-03-15T00:00:00,2017-11-15T00:00:00,LOW,BRISBANE,-27.4058208,153.0392588,Distillery
800441,CREDIT,Michael Finance,Amanda,Michael,1975-04-02T00:00:00,2016-03-11T00:00:00,LOW,BRISBANE,-27.4323272,153.045665,Finance
800442,BUSINESS,Jones Pharmacy,Robert,Jones,1961-03-16T00:00:00,2016-06-18T00:00:00,LOW,BRISBANE,-27.479360749999998,153.08388358178945,Pharmacy
800443,BUSINESS,Bridges Sports,Chase,Bridges,1963-01-12T00:00:00,2018-05-26T00:00:00,HIGH,BRISBANE,-27.4267417,153.0444894,Sports
800444,CREDIT,Miller Physiotherapy,Deborah,Miller,1985-10-25T00:00:00,2015-03-15T00:00:00,LOW,BRISBANE,-27.4867447,153.0932333,Physiotherapy
800445,BUSINESS,Eaton Physiotherapy,Kimberly,Eaton,1989-10-07T00:00:00,2017-05-06T00:00:00,LOW,BRISBANE,-27.3995164,153.0211198,Physiotherapy
800446,CREDIT,Ashley Property,Jennifer,Ashley,1963-10-29T00:00:00,2017-02-13T00:00:00,LOW,BRISBANE,-27.41245652257044,153.08159401147083,Property
800447,BUSINESS,Tanner Apparel,Nathan,Tanner,1967-12-26T00:00:00,2016-03-24T00:00:00,LOW,BRISBANE,-27.3940204,153.0850233,Apparel
800448,BUSINESS,Jones Services,John,Jones,1977-10-26T00:00:00,2017-06-03T00:00:00,LOW,BRISBANE,-27.477577949999997,152.99763964897934,Services
800449,BUSINESS,Carter Used Cars,Bruce,Carter,1973-07-31T00:00:00,2015-04-01T00:00:00,MEDIUM,BRISBANE,-27.481933849999997,153.05330100908014,Used Cars
800450,BUSINESS,Price Trading,Nathaniel,Price,1975-08-10T00:00:00,2018-11-14T00:00:00,LOW,BRISBANE,-27.5125108,153.0634755,Trading
800451,BUSINESS,Morris Crash Repairs,Stephanie,Morris,1990-04-08T00:00:00,2015-10-01T00:00:00,LOW,BRISBANE,-27.5430313,152.9535179,Crash Repairs
800452,BUSINESS,Walker Pottery,Stephanie,Walker,1976-08-14T00:00:00,2018-03-16T00:00:00,LOW,BRISBANE,-27.4582244,153.0345164,Pottery
800453,CREDIT,Wise Roasters,Jessica,Wise,1977-09-24T00:00:00,2017-04-11T00:00:00,HIGH,BRISBANE,-27.4485506,153.0700981,Roasters
800454,BUSINESS,Cooper Used Cars,Brandon,Cooper,1964-06-24T00:00:00,2016-06-17T00:00:00,LOW,BRISBANE,-27.433394,153.04692849309015,Used Cars
800455,BUSINESS,Barker Florist,Christopher,Barker,1987-09-20T00:00:00,2016-10-06T00:00:00,LOW,BRISBANE,-27.4029148,152.9687086,Florist
800456,BUSINESS,Young Winery,Vicki,Young,1975-04-05T00:00:00,2014-11-22T00:00:00,LOW,BRISBANE,-27.504272370467696,152.96332522806873,Winery
800457,CREDIT,Sanchez Computers,Ruth,Sanchez,1982-04-08T00:00:00,2015-03-03T00:00:00,HIGH,BRISBANE,-27.5320463,153.0246255,Computers
800458,BUSINESS,Shaw Garage,Edward,Shaw,1968-05-25T00:00:00,2016-03-21T00:00:00,MEDIUM,BRISBANE,-27.503690499999998,153.00064344999998,Garage
800459,CREDIT,Young Salamis,Jessica,Young,1975-12-21T00:00:00,2020-02-08T00:00:00,LOW,BRISBANE,-27.427418111846222,152.97394455594883,Salamis
800460,CREDIT,Torres Accounting,William,Torres,1976-11-02T00:00:00,2017-04-04T00:00:00,MEDIUM,BRISBANE,-27.511236,153.0947976,Accounting
800461,CREDIT,Wallace Gardening,Ryan,Wallace,1965-11-29T00:00:00,2016-09-28T00:00:00,LOW,BRISBANE,-27.40331349803744,153.09852715625084,Gardening
800462,BUSINESS,Berry Smallgoods,Kayla,Berry,1959-08-26T00:00:00,2015-11-25T00:00:00,LOW,BRISBANE,-27.5011885,153.0559361,Smallgoods
800463,BUSINESS,Guerra Management,Erin,Guerra,1970-01-04T00:00:00,2016-05-28T00:00:00,LOW,BRISBANE,-27.4813245,153.01267102866092,Management
800464,BUSINESS,Moss Pharmacy,Elizabeth,Moss,1969-01-14T00:00:00,2015-04-13T00:00:00,LOW,BRISBANE,-27.49741805,153.01316955983583,Pharmacy
800465,BUSINESS,Winters Beauty,Mark,Winters,1972-04-29T00:00:00,2019-11-05T00:00:00,LOW,BRISBANE,-27.434389781047223,153.09253381779828,Beauty
800466,CREDIT,Dixon Roasters,Karen,Dixon,1958-12-03T00:00:00,2015-03-17T00:00:00,LOW,BRISBANE,-27.5392177,153.0323616,Roasters
800467,CREDIT,Lopez Florist,Kyle,Lopez,1985-07-14T00:00:00,2019-04-10T00:00:00,MEDIUM,BRISBANE,-27.4574881,153.0402649,Florist
800468,BUSINESS,Houston Winery,Angela,Houston,1960-04-18T00:00:00,2018-03-15T00:00:00,LOW,BRISBANE,-27.50593275,152.99622996650407,Winery
800469,BUSINESS,Duran Clinic,Jonathan,Duran,1974-03-03T00:00:00,2014-10-29T00:00:00,LOW,BRISBANE,-27.3954811,153.0588931,Clinic
800470,CREDIT,Rollins Roasters,Timothy,Rollins,1965-01-25T00:00:00,2017-02-23T00:00:00,MEDIUM,BRISBANE,-27.4503062,152.9813634,Roasters
800509,BUSINESS,Patterson Smallgoods,Jason,Patterson,1973-01-08T00:00:00,2020-01-21T00:00:00,LOW,BRISBANE,-27.43901,153.021775,Smallgoods
800510,CREDIT,Hardin Podiatry,Lauren,Hardin,1979-05-10T00:00:00,2018-04-03T00:00:00,MEDIUM,BRISBANE,-27.402177359029146,153.00939940437797,Podiatry
800511,CREDIT,White Digital,Natalie,White,1979-05-10T00:00:00,2015-11-24T00:00:00,LOW,BRISBANE,-27.4271943,153.025191,Digital
800512,CREDIT,Taylor Childcare,Nicolas,Taylor,1963-11-04T00:00:00,2018-10-28T00:00:00,LOW,BRISBANE,-27.4651584,153.1004879,Childcare
800513,BUSINESS,Johnson Electrical,Brandi,Johnson,1988-03-23T00:00:00,2016-01-12T00:00:00,LOW,BRISBANE,-27.47602545,153.03017420411933,Electrical
800514,BUSINESS,Medina Wholesale,Chase,Medina,1972-03-18T00:00:00,2018-02-20T00:00:00,MEDIUM,BRISBANE,-27.5325526,152.9768307,Wholesale
800515,BUSINESS,Ingram Management,Ryan,Ingram,1986-03-08T00:00:00,2018-09-22T00:00:00,LOW,BRISBANE,-27.5158178,153.0446258,Management
800516,CREDIT,Becker Builders,Tina,Becker,1986-04-12T00:00:00,2015-09-21T00:00:00,LOW,BRISBANE,-27.5014552,153.0255533,Builders
800517,BUSINESS,Cruz Trading,Thomas,Cruz,1985-03-10T00:00:00,2019-05-07T00:00:00,LOW,BRISBANE,-27.442366800000002,152.96504863378445,Trading
800518,BUSINESS,Wheeler Florist,Joshua,Wheeler,1976-05-10T00:00:00,2017-11-13T00:00:00,LOW,BRISBANE,-27.4473588,153.0706538,Florist
800519,BUSINESS,Palmer Pottery,Nicholas,Palmer,1968-12-05T00:00:00,2017-01-12T00:00:00,LOW,BRISBANE,-27.4691528,153.0764782,Pottery
800520,CREDIT,Stone Events,Amy,Stone,1987-03-17T00:00:00,2016-03-27T00:00:00,MEDIUM,BRISBANE,-27.4324352,153.0137631,Events
800521,BUSINESS,Allen Therapeutics,Duane,Allen,1980-10-15T00:00:00,2019-05-31T00:00:00,LOW,BRISBANE,-27.48857925,153.00999726272727,Therapeutics
800522,CREDIT,Rivera Childcare,Michelle,Rivera,1982-11-19T00:00:00,2014-10-29T00:00:00,LOW,BRISBANE,-27.5138874,153.0348094,Childcare
800523,CREDIT,Lam Management,Jesse,Lam,1961-04-04T00:00:00,2016-03-17T00:00:00,LOW,BRISBANE,-27.5017046,152.9653033,Management
800524,CREDIT,Contreras Distillery,Tiffany,Contreras,1969-03-16T00:00:00,2016-01-02T00:00:00,LOW,BRISBANE,-27.49196293782777,152.96654157086135,Distillery
800525,CREDIT,Chen Roasters,Erik,Chen,1991-01-09T00:00:00,2018-02-20T00:00:00,LOW,BRISBANE,-27.458384610580758,152.96598433479315,Roasters
800526,BUSINESS,Lucero Salamis,Selena,Lucero,1980-06-18T00:00:00,2017-01-13T00:00:00,LOW,BRISBANE,-27.4204717,153.0409435,Salamis
800527,BUSINESS,Conrad Apparel,Jennifer,Conrad,1984-03-23T00:00:00,2018-05-12T00:00:00,LOW,BRISBANE,-27.4077941,153.046868,Apparel
800528,BUSINESS,Bryant Brewery,Elizabeth,Bryant,1974-03-08T00:00:00,2019-12-09T00:00:00,LOW,BRISBANE,-27.5262299,152.9819168,Brewery
800529,CREDIT,Johnson Computers,Brian,Johnson,1959-04-06T00:00:00,2015-04-26T00:00:00,HIGH,BRISBANE,-27.3986772,153.0974576,Computers
800530,BUSINESS,Johnson Finance,Kristen,Johnson,1960-05-18T00:00:00,2015-12-18T00:00:00,LOW,BRISBANE,-27.531007,153.0330278,Finance
800531,BUSINESS,Russell Butcher,Jonathan,Russell,1984-01-13T00:00:00,2018-08-08T00:00:00,LOW,BRISBANE,-27.49741805,153.01316955983583,Butcher
800532,CREDIT,Fuller Pottery,Scott,Fuller,1992-01-31T00:00:00,2017-10-26T00:00:00,MEDIUM,BRISBANE,-27.47033888324434,153.04230344393082,Pottery
800533,CREDIT,Greene Garage,Ann,Greene,1987-08-14T00:00:00,2015-04-16T00:00:00,LOW,BRISBANE,-27.4988457,153.0840677,Garage
800534,CREDIT,Smith Podiatry,Cassandra,Smith,1964-04-20T00:00:00,2018-02-25T00:00:00,LOW,BRISBANE,-27.4978451,153.02233622601887,Podiatry
800535,CREDIT,Collins Beauty,Kelsey,Collins,1984-07-22T00:00:00,2016-09-30T00:00:00,LOW,BRISBANE,-27.48471835,153.05540347254828,Beauty
800536,BUSINESS,Collins Computers,Ryan,Collins,1983-08-24T00:00:00,2017-07-16T00:00:00,LOW,BRISBANE,-27.4742802,153.0474911,Computers
800537,CREDIT,Santiago Therapeutics,Isabel,Santiago,1962-02-23T00:00:00,2015-04-04T00:00:00,MEDIUM,BRISBANE,-27.5223233,153.0759171,Therapeutics
800538,CREDIT,Mann Cleaning,Catherine,Mann,1984-08-19T00:00:00,2017-11-08T00:00:00,LOW,BRISBANE,-27.5240003,153.0012583,Cleaning
800539,BUSINESS,Estrada Therapeutics,Ashley,Estrada,1983-09-18T00:00:00,2017-02-20T00:00:00,LOW,BRISBANE,-27.4616867,152.9769785,Therapeutics
800540,BUSINESS,Hahn Accounting,Alison,Hahn,1978-10-05T00:00:00,2018-03-19T00:00:00,LOW,BRISBANE,-27.5161514,153.01417973721766,Accounting
800541,BUSINESS,Cain Brewery,Ashlee,Cain,1986-06-13T00:00:00,2018-07-11T00:00:00,MEDIUM,BRISBANE,-27.4510251,153.065588,Brewery
800542,BUSINESS,Johnson Builders,Lauren,Johnson,1992-05-20T00:00:00,2016-07-23T00:00:00,LOW,BRISBANE,-27.48035655,152.99052999831758,Builders
800543,BUSINESS,Johnson Florist,Mathew,Johnson,1961-08-21T00:00:00,2015-01-23T00:00:00,LOW,BRISBANE,-27.513443000000002,152.97523767606538,Florist
800544,BUSINESS,Johnson Beauty,Madison,Johnson,1960-05-19T00:00:00,2018-04-19T00:00:00,LOW,BRISBANE,-27.5263825,153.0885392,Beauty
800545,BUSINESS,Ramos Cleaning,Aaron,Ramos,1989-01-02T00:00:00,2019-09-03T00:00:00,LOW,BRISBANE,-27.5223517,153.0870436,Cleaning
800546,BUSINESS,Young Management,Katelyn,Young,1982-09-20T00:00:00,2017-03-07T00:00:00,LOW,BRISBANE,-27.5008555,153.0745047,Management
800547,CREDIT,Davis Distillery,Paul,Davis,1962-01-14T00:00:00,2019-07-09T00:00:00,LOW,BRISBANE,-27.5164193,153.070011,Distillery
800548,BUSINESS,Stewart Consulting,Derek,Stewart,1977-09-07T00:00:00,2016-11-13T00:00:00,MEDIUM,BRISBANE,-27.4447343,153.07526431771728,Consulting
800549,BUSINESS,Key Salamis,Jeffrey,Key,1963-04-23T00:00:00,2019-10-13T00:00:00,MEDIUM,BRISBANE,-27.498594,153.0431033,Salamis
800550,BUSINESS,Gomez Butcher,Jennifer,Gomez,1968-04-05T00:00:00,2019-11-02T00:00:00,LOW,BRISBANE,-27.39921545,153.08354914693112,Butcher
800551,CREDIT,Todd Winery,Ernest,Todd,1966-06-26T00:00:00,2015-10-31T00:00:00,LOW,BRISBANE,-27.5186221,153.0914002,Winery
800552,BUSINESS,Neal Pharmacy,Alexis,Neal,1980-05-18T00:00:00,2017-01-15T00:00:00,LOW,BRISBANE,-27.4617951,153.081195,Pharmacy
800553,CREDIT,Davis Beauty,Anthony,Davis,1967-08-09T00:00:00,2015-12-29T00:00:00,LOW,BRISBANE,-27.4463531,153.0429825,Beauty
800554,CREDIT,Fernandez Wholesale,Brian,Fernandez,1975-04-23T00:00:00,2017-01-22T00:00:00,LOW,BRISBANE,-27.41916345,152.98481927026467,Wholesale
800555,BUSINESS,Meyers Electrical,Samantha,Meyers,1990-05-26T00:00:00,2015-11-13T00:00:00,LOW,BRISBANE,-27.5062262,153.03808014999998,Electrical
800556,BUSINESS,Simpson Used Cars,Jane,Simpson,1987-08-30T00:00:00,2016-12-09T00:00:00,MEDIUM,BRISBANE,-27.4928219,153.0871291,Used Cars
800557,BUSINESS,Walker Lawyers,Paul,Walker,1981-10-03T00:00:00,2018-02-15T00:00:00,LOW,BRISBANE,-27.4646645,153.0863646,Lawyers
800558,BUSINESS,Hill Florist,Larry,Hill,1966-06-30T00:00:00,2016-08-05T00:00:00,MEDIUM,BRISBANE,-27.4121175,152.97941397302188,Florist
800559,BUSINESS,Thomas Digital,Eric,Thomas,1982-06-03T00:00:00,2019-11-12T00:00:00,LOW,BRISBANE,-27.492809,152.9574438,Digital
800560,CREDIT,Mueller Fitness,Alicia,Mueller,1972-04-18T00:00:00,2016-10-26T00:00:00,LOW,BRISBANE,-27.5057384,153.0458136,Fitness
800561,CREDIT,Perry Brewery,Rita,Perry,1978-02-14T00:00:00,2016-10-20T00:00:00,LOW,BRISBANE,-27.4262979,153.07611625529256,Brewery
800562,BUSINESS,Walker Florist,Benjamin,Walker,1990-12-26T00:00:00,2016-09-21T00:00:00,LOW,BRISBANE,-27.4052254,153.0064282,Florist
800563,BUSINESS,Weaver Podiatry,Lori,Weaver,1986-11-08T00:00:00,2019-02-03T00:00:00,LOW,BRISBANE,-27.397509499999998,153.09766056122896,Podiatry
800564,CREDIT,Allen Builders,Erik,Allen,1976-02-22T00:00:00,2016-03-25T00:00:00,MEDIUM,BRISBANE,-27.5330345,152.9791707,Builders
800565,CREDIT,Hill Music,Michael,Hill,1987-07-06T00:00:00,2019-01-10T00:00:00,LOW,BRISBANE,-27.51075065,153.08378817746367,Music
